"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Widget,Widget,5,Mini dachshund
Dog,Stella Bo Bella,Stella,6.5,Mongrel
Cat,Meryl Streep,Merrill,8,Unknown
Dog,Tilly,Tills,13,Chocolate Labrador
Cat,Pumpkin,Pumpkin,12,Unknown
Dog,Peter Peter Pumpkin Eater,Petey,5,Pit bull
Cat,Jacques,Jacques,12,Unknown
Dog,Remy,Rem,1,Unknown
Dog,Oreo,Oreo,7,Some kind of mix
Dog,Ljus  (Swedish word for light),Ljus,0.2684934,Golden Retriever
Dog,Bambi,Bambs,3,Unknown
Cat,Marie Curie,Marie,3,Unknown
Cat,Clarence,Clarence,12,Russian Blue
Dog,Layla ‘The Tank’,Layla,3,Pit bull
Cat,Amber,Ambs,10,Tortoise shell
Dog,Benny and the Jets,Ben,1,Mastiff/Great Dane
Dog,Milo,Milo,7,Bichon Frise
Dog,Mocha,Mocha,3,Pitbull/Terrier mix
Dog,Shadow,Shadow,15.5,Golden Retriever
Cat,Little Bit,Skittles,10,Tabby
Dog,Luna,Luna,1,Great Pyrenees
Cat,Garrison,Garrison,9,Russian Blue
Dog,Cody,"Baby, Pookie",13,Black lab/cocker spaniel mix
Hamster,Hammy,Ham,1,Russian Dwarf
Cat,Zoey,Zoey,13,Cat
Dog,Oatmeal,Oatmeal,0.5833338,Golden Retriever
Dog,Ginger,Nugget,10,Chihuahua
Cat,Lucy,Lucy,4,Russian Blue
Dog,Starbuck Louise,Starbuck,4,Goldendoodle
Dog,Mocha Antoinette,Mocha,7,Mongrel
Dog,Oscar,Oscar,10,Shepherd retriever mix
Cat,Serena,Mouse Pie,17,Domestic Longhair
Cat,Maxine Waters,Maxine,4,Unknown
Dog,Magnolia Mae,Noli,2.5,Great Pyrenees/Lab
Dog,George Cooper,Georgie,2,Golden Retriever
Dog,Cayenne,Cayenne,8,German Shepherd
Cat,Pip,Pip,11,Tuxedo cat
Dog,Olive Oil,Olive,2,Australian Shepherd
Rabbit,Iggy and Ziggy,Igs and Zigs,3,Lop and angora
Dog,Brook,Brookie,7,Golden Retriever
Dog,Sparkie,"Spark, Sparkie, sparkle",4,Mongrel
Dog,Max,Maxie,16,carin terrier/ kerry blue terrier/ keeshond
Dog,Howard,Howie,10,American Staffordshire Terrier mix
Cat,Samantha Bee,Sam,3,Tuxedo cat
Dog,Ella Fitzgerald,Ella,12,Heinz 57
Cat,Chanel,Teeny,6.5,Unknown
Other,Commander Ambrose,The Commander,0.833334,Betta fish
Dog,Josephine Bakes,Josie,5,Pit bull/lab mix
Dog,Lennie,Lennie,2,Treeing Tennessee Brindle
Cat,Obsidian Jazz Paws,OJP,1,Feral
Cat,Scotty,Scotty,8,Domestic shorthair
Cat,Macallan,Mac,8,Unknown
Dog,Cody James,Buddy,1.5,Golden Retriever
Dog,Jake,Jake,2,Golden Retriever/Husky/Shepherd/Jack Russell
Cat,Katie,Boo,9,Tuxedo moggy
Server,damn,it,2,Skylake
Dog,Gail,Gail,3,Treeing Tennessee Brindle
Other,Bella,Bella,2,Russian Dwarf
Cat,June Bug,June Bug,5,Unknown
Dog,Lucky,"Luck, Luckboy, Luck duck",3,"Jack a bee (half jack russell, half beagle)"
Dog,Darcy,Darcy,3,Working cocker spaniel
Cat,Neko,"Neko, Cat, Kitten",6,Domestic shorthair
Cat,Maisie,Maisy,7,Unknown
Dog,Luke Anakin,Luke,9,Golden Retriever
Dog,Sadie,Sadie Pot Pie,10,Mongrel
Dog,Hazel Nut,Hazel,3,Australian Shepherd
Cat,Mongoose,Goosey,1.9166682000000002,Unknown
Cat,Flerf,Bab,16,Tortie
Dog,Bourbon,Bourbon,3,Mongrel
Dog,Riley,Smiley Riley,13,Golden Retriever
Cat,Murphy,Murph,13,Domestic shorthair
Dog,Mr. Nubs,Mr. Nubs,16,Corgi
Cat,Mackerel,Mack,1.9166682000000002,Unknown
Cat,Regis,"Regis (or ""little asshole"")",0.416667,Unknown
Cat,Laetynne Marah,Lae lae,7,Siamese
Cat,Callie,Callie,15,Domestic shorthair
Dog,Bentley,Bentley boy,3,Australian labradoodle
Cat,Crumb Bun,Bobo,9,Tuxedo garbage cat
Dog,Fenway,Fenway,6,Boston terrier
Dog,Benelli,Name,3,Black Lab
Turtle,Lenny,Lenny,12,Unknown
Dog,Washington the Destroyer,Wash,6.5,Chocolate lab
Cat,Otto,Otto,16,Unknown
Dog,Philomenos,"Philo, Phil, phi phi",9,Portuguese Water Dog
Dog,Stampy Wiggles,Stampy,10,Goldendoodle
Dog,Jasmine,Jaz,5,Golden Retriever
Dog,Emma,Puppy,1,Chocolate lab
